text	label
Quá trời sướng rồi chị ơi. Nhiêu đây là dư đẹp rồi chị.	1
Huhu làm cái sylfirm đẹp mà đau muốn xĩu 😭😭😭 mỗi lần làm là e khóc hết mấy dòng sông , chỉ gở gạt dc 1 điều là vừa dứt kim đắp mask phát là bt luôn ko còn đau dai dẵng như làm lăn kim	1
Em bị u mạch máu gan rối loạn lo âu trị nám có dễ tái phát ko Bác.	0
Bảo vệ tại đây rất ư là vô văn hóa.	1
Hiệu quả ko bác ơi..?	1
Bs ơi ngày mai Bs có làm việc bên cơ sở nào vậy ạ	1
Có khẩu trang của nhà #Pen thik ghê, ra đường là phải đeo nè ko bị nóng mặt 😍	1
Hay quá 😀😀😀😀😀😀❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😀😀😀😀😀😀😀😀😀😀😍😍😚	1
Chúc mừng bạn có tên facebook Le Oanh https://www.facebook.com/lekieuoanh.qttm là người may mắn nhận quà là 1 suất tiêm săn chắc da trị giá 15 triệu trong livestream này nhé. Inbox page để xếp lịch hẹn sớm ❤	1
Hế lô bác Thảo!	1
Hiệu quả ko bác ơi..?	1
Em rất mong đuoc nhận quà từ bs ạ	1
Bs làm combo luôn, mai mốt đẹp hết sức đẹp. Đã đẹp còn đẹp hơn nè	1
Chào bs	1
"Công nghệ Tái tạo màng đáy đã được FDA chứng nhận an toàn: 
https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200185.pdf 
https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200185.pdf"	1
Bác sĩ thì ok nhưng dịch vụ lễ tân thiệt ba chấm, mình tái khám xong ngồi trong sảnh chờ người nhà đến đón, lễ tân đến bảo ngồi trong sảnh không được, bảo mình ra ngoài sân xe ngồi chờ, thấy mình bực mình nên một nhân viên chạy theo giải thích là sắp xịt muỗi nên mới kêu ra ngoài, trong khi trong sảnh còn đầy người ra đó, bảo mỗi mình mình , tiếc gì với mình 1 chỗ ngồi không biết 🥲	0
Chúc c Thảo và đại gia đình Pensilia năm mới thật nhiều sức khoẻ và đạt doanh thu lợi nhuậ khủng trong năm nay 🎊🎊🎊	1
E SHOW🦋👉 rebrand.ly/ev9wj81	1
Nhanh qua nhận quà .	1
Khẩu trang nhà Pen làm mình thích mê luôn, khỏi lo nắng nóng hay UV gì hết 🥰	1
💞🤭💞🤭	1
quá hay bs ơi!	1
Quà tặng hấp dẫn qa bs oi	1
Chào bác sĩ	1
👍	1
Khách lưa thưa không tới 10 người mà ngồi đợi hơn tiếng đồng hồ	1
Mong nhan duoc qua dieu tri nam	1
Ôi dễ thương quá, e cười sặc sụa luôn chị oie 😅😅😅	1
Lừa đảo nhé mn 😟 . Nếu họ gọi thì thỏa thuận trước khi đến là làm xong dùng thước đo trước và sau khi làm khi đang đứng cho chính xác. Đồng ý thì hẵng đến khỏi mất công đi. Nếu kg họ bắt nằm đo thì kg chính xác, kg giảm, mất tiền, nói thì họ giở thói côn đồ với khách luôn. Sợ vãi …	1
Chúc mừng cặp đôi hoàn hảo	1
Sau khi điều trị, mình cảm thấy không thoải mái, không tự tin về ngoại hình của mình.	0
Ước gì năm mới bác có liệu trình trị nám cho người thu nhập thấp hihi	1
Chúc bác sĩ với chuyến du lịch trời Tây vui vẻ!	1
Bác có căng chỉ mũi ko ạ?	0
Nay theo trend top top dữ ha bác sỹ :))	1
❤️	1
Một đội ngũ nhân viên chèo kèo me nheo khách chuyên nghiệp ạ, mình nghĩ nên để bác sĩ tư vấn cho khách chứ mình đến chỉ toàn sales tư vấn mà còn tư vấn không rõ ràng	1
Quá tuyệt vời.	1
🥰❤️❤️❤️❤️	1
Oi sao bên đây chị tăng sao dc nè	1
Làm việc không có tâm, chữ tín không có, lươn lẹo trong việc đổ lỗi cho khách hàng , kêu 70% xong có 30-40% xong chối	1
🥰🥰🥰🥰🥰	1
mê quá đi	1
Trong lúc làm luôn hỏi mình chốt giá nào phương án nào chứ ko đợi làm xong rồi tính	0
iu wa nè. Lì xì anh nha !	1
⭐⭐⭐⭐⭐	1
Nhớ tập đều là đc. Haha	1
Cách tiếp đãi khách không chu đáo, đặc biệt là những nhân viên rãnh không có khách để làm ngồi nhìn khách rồi nói xăm soi các thứ, ánh mắt không tôn trọng. Tôi đã nghe tiếng chất lượng về dịch vụ nhưng sản phẩm thì ổn nhưng dịch vụ cần xem lại .	0
Không có cho vourcher	0
Dương Thị Yến	1
Bs điều trị da liễu rất hiệu quả luôn. Về sắc tố, về sẹo, chàm trẻ em.😍😍😍	0
Tham khảo các sản phẩm kem chống nắng tại https://dep24gio.vn/search?type=product&q=kem%20ch%E1%BB%91ng%20n%E1%BA%AFng	1
Mất quá nhiều thời gian để đợi đến lượt mà kết quả cuối cùng không thấy sự cải thiện!	0
chị mẹ vào đây mua và pass đồ cho bé rẻ đẹp HỘI THANH LÝ XE ĐẨY ĐỒ CHO BÉ	1
"Đợi hơn 1 tiếng, nhân viên gọi lên triệt, lên nhân viên để đó rồi đi làm việc khác, nhân viên khác đi qua đi lại nhưng ko hỏi khách 1 tiếng, tới hồi tôi hỏi mới dắt tôi vô, vô xong bắt tôi đợi tiếp, xong nói bạn thực tập làm cho tôi, tay chân lống ngống. là dịch vụ oki chưa mn?????
Còn những chị đi sau tôi thì kêu lên làm trước là sao????"	0
Chuc Bac khai truong phat tai phat loc	1
Dạ đúng rồi anh. Em biết thiếu gì rồi đó nha	1
Hế lô bác Thảo!	1
đỏ rực nổi bật luôn nè!	1
Yen Nhi Truong Tran ơi cái vòng tròn công nghệ mình đâu, em điểm danh từng chi nhánh và từng công nghệ giúp anh nhé. Clip này tốt nè.	1
Giá cả của các liệu trình quá đắt đỏ, khiến người tiêu dùng khó tiếp cận!	0
💋💋💋💋	1
Hay quá bs ơi. Bs Thảo là tuyệt vời nhất.	1
Ngon😋	1
Em nghe có liệu trình Pen young thì cái này như nào ah	1
Dịch vụ thì tốt đấy, nhưng mà liệu trình gì mà không rõ ràng. Thấy lạm dụng công nghệ mà không thấy da mình đẹp lên tí nào 	0
Sau khi điều trị, không chỉ không được cải thiện mà còn gặp phải nhiều vấn đề mới!	0
Tskin- máy làm đẹp used&new. Chúc các bạn 1 ngày an lành.	1
Rất tệ. Nhân viên tên Hải xử lý vấn đề cho khách hàng thiếu trách nhiệm. giao tiếp xư lý thua cả nhân viên kho, ktoan , cải tay đôi với khách hàng.	0
Đừng vội mua gói và trả tiền ngay. Nhân viên bác sĩ toàn gốc sales suốt ngày ra rả làm thêm dịch vụ. Quá mắc so với giá trị. Siêu tệ	0
Chúc con một năm mới nhiều sức khỏe, trẻ trung xinh đẹp và Pensilia làm ăn phát tài phát lộc và luôn được nhiều khách hàng tin yêu.	1
Sẽ Ok hơn nếu trong lúc thao tác đừng cố nài nỉ khách mua thêm gói dịch vụ này nọ nữa, khách đang cần là sự thư giãn mà nhân viên nói quá nhiều giới thiệu để mua tiếp gói khác	1
Bả đẹp gái ghê anh ui	1
Thich cách trả lời của Bác sĩ...	1
Em cũng muốn nhận quà	1
Mê quá c ơiiii. Em Pan xin vía nàaa	1
Những kỷ niệm khó quên	1
Không trả cọc cho nhân viên, mail ko phản hồi 1 lí do chính đáng, quỵt tiền nhiều nhân viên.	0
"Rất tệ . Tiêm filer cằm bị lệch, nay đến bác sĩ kêu hết filer rồi, thông cảm. c mua thêm để chỉnh cho đỡ lệch. Khách thì ít. Toàn tiktoker đến quay.
"	1
Đẹp trai nha	1
Chơi dữ luôn ta, vậy mới vui	1
Dễ thương dữ luôn á 💕	1
Dịch vụ không đáng tiền, không đem lại hiệu quả như đã hứa hẹn, cảm thấy thất vọng!	0
Xinh quá 😍😍😍	1
Bác Thảo  cập nhật  nhiều kỹ thuật mới về làm đẹp cho các chị em VN ! Cho ai cũng đẹp giống BS nha!!!	1
Bs làm combo luôn, mai mốt đẹp hết sức đẹp. Đã đẹp còn đẹp hơn nè	1
"Để biết thêm thông tin liên hệ ngay với Pensilia qua hotline CSKH 0938.777.885
----------------------
• Pensilia Hồ Chí Minh: 413 - 415 Nguyễn Đình Chiểu, Phường 5, Quận 3, TP.HCM - 0924.777.885
• Pensilia Đồng Nai: Tầng lửng TTC Plaza 53-55 Võ Thị Sáu, TP.Biên Hòa - 032.6666.247
• Pensilia Vũng Tàu: 187 Lê Lợi, Phường Thắng Nhì, TP.Vũng Tàu - 034.5555.247
• Website: https://pensilia.com/"	1
😘😘😘😘😘😘	1
Quá đẹp luôn!	1
T Thảo Trâm	1
"Spa làm việc thiếu chuyên nghiệp, đặt lịch hẹn trước nhưng đến hẹn thì không có phòng, phải chờ khách dù họ không đặt lịch hẹn!
Lúc tư vấn gói triệt thì tư vấn mình hiệu quả, nhưng lúc mình hỏi lại vì không thấy tiến triển thì lại trả lời với thái độ không hợp tác, tỏ vẻ bất cần!
Máy móc quá cũ, vệ sinh không sạch sẽ, hiệu quả điều trị không cao."	0
mong được nhận quà của bs ạ	1
Chúc mừng năm mới em và gđ 💐💐	1
Clip này hay đó, nhưng chưa show hết các công nghệ của mình nhé.	1
Ngon rồi em kkkk	1
Mong nhận được quà tặng điều trị nám của Pensilia	1
Nam giới cũng lão hoá da	1
nhỏ Võ Mỹ Hiệp quản lý lắc nhảy sung dữ luôn ta ưi😂😂😂	1
Mê quá trời ơi, tui cũng muốn huhuhu.	0
Let's go	1
kết quả tốt quá nè.	1
"Link nhà sản xuất: 
https://norseld.com/norseld-medical-lasers/patients-m-l/"	1
Khẩu trang e xin giá c ơi	1
Đến làm toàn mồi cho làm gói đắt tiền rồi kiu mấy gói đó tốt, rõ chán	1
Bs mặc bộ này đẹp quá nha	1
Đang chờ may mắn từ bs	1
Mong được nhận quà từ bác sĩ🥰🥰🥰🥰	1
Đăng Vân	1
Bỏ 20 triệu ra làm da mà không cải thiện gì ,trị nám cũng không hết .vậy thì tới thẩm mỹ viện làm gì .mọi người hãy ở nhà tự chăm sóc cho mình thì sẽ hiệu quả và không tốn tiền .	0
Xin hỏi pk mình có trị thâm nách ko ạh?	1
Đây mới gọi là da thật nè. E cho Đông cái clip này đi Hiệp	1
Chúc bác sĩ với chuyến du lịch trời Tây vui vẻ!	1
Bác sĩ dễ thương quá ạ	1
Quá chời đẹp rồi…coi chừng tui 😌😆	1
Cám ơn Bác ❤️	1
Hiểu… là khi cty có ông sếp mê tiktok 😂	1
Mong nhận được quà tặng điều trị nám của pensilia	1
Cám ơn Bác ❤️	1
Tuyệt vời quá	1
Tuyệt vời quá ạ	1
Nhân viên không tư vấn kí cho khách hàng về việc giảm cân hiệu quả	0
E SHOW🦋👉 rebrand.ly/ev9wj81	1
Khi sếp lớn lên quẩy	1
Choy ơi chắc xin 1 slot qua đó nhảy quá Chị kakaka	1
Ngày quá mưa quá gió	1
Em  mong may mắn đuoc nhận xuat trị nám	1
Mong nhận được quà tặng điều trị nám của pensilia	1
Không chuyên nghiệp	1
Pen Hair giá sao vậy Bs	1
"Ko tư vấn kĩ về dịch vụ, các bước làm, hiệu quả ra sao , khách chưa trả lời đồng ý với liệu trình hay chưa thì cứ nói ""E chốt gói này cho a nha để a vào làm luôn "" "	0
Nhân viên run tay, làm lem	1
Dịch vụ quá tệ. Chăm sóc da mặt nhưng k tẩy trang trước cho khách. Tư vấn viên quá chèo kéo.	0
Mong được nhận quà	1
gg	1
Kết quả rất tệ nhé mọi người đừng tin lời chèo kéo và những review tốt toàn là tự review ảo đó. Làm 86 triệu mà da chẳng khác chút nào còn bị bầm mắt hết 2 tuần. Thực sự rất rất tệ. Tránh xa nhé mọi người	0
Bác sĩ dễ thương quá	1
.	1
Bác siz đẹp quá à	1
Hifu bóng da so với meso thì thế nào bs	1
Pháo hoa đẹp quá Chị hihi!! Team nhân Sự so đẹp!!!	1
During consultation they wanted to charge me double of what another clinic was charging me.  Foriegner syndrome where they blatantly try to RIP you off because your a foreigner.  Don't go here 	1
đúng nè, thấy tư vấn có vấn đề	1
chào bs xinh đẹp	1
Vui quá a ơi	1
Mong nhận được quà từ bác sĩ	1
🌟	1
Tham khảo mua hàng tại đây: https://dep24gio.vn/search?type=product&q=kh%E1%BA%A9u%20trang	1
🥰🥰🥰🥰🥰	1
Có chương trình khuyến mãi nào của laser đồng ko ạ	1
tôi thấy hình ảnh BS Phương Thảo đã bị tên lừa đảo post lên Facebook  với  tên Helen Kim Vuong và gửi đi khắp nơi để scam người khác. Hãy cẩn thận	1
Đẹp tuyệt vời nghe bạn mình	1
Không thấy hiệu quả sau quá trình điều trị	0
chờ đợi quá lâu, có thể cho khách ngồi đợi bên dưới rồi não trống chỗ mới kêu khách, còn này bắt khách lên ngồi chờ xếp hàng dài hơn 2 tiếng	1
Đang chờ may mắn từ bs	1
Liệu trình thường kéo dài thời gian bao lâu BS ơi	1
Da đẹp mê chị ơi	1
Co bi bầm k c	1
Mn né spa này ra nhen, toàn vẽ vời, liệu trình làm rút ngắn hết, trường hợp nhẹ làm cho nặng, tốn gần 5 củ mà mặt k hết còn nặng hơn, vì thấy lượt đánh giá tốt mà thử đi ai dè rất tệ, 1 bài học cho mình và mn đừng tin những đánh giá tốt 5sao nhé toàn ảo cả đấy, mình là người chứng thực đây, nhân viên thì soi săm nhìn , kêu mua này mua kia ,né xa spa này nha mọi người đừng để tiền mất tật mang vào người	1
Nhân viên thì tỏa thái độ khinh thường khách hàng, dịch vụ thì lâu ơi là lâu. Tư vấn thì cho qua loa. Chịu thiệt	1
Mình rất thất vọng. Mình đến đây 2 lần. Nhân viên tư vấn rất hay, hứa hẹn đủ kiểu. Lúc tư vấn không nói thẳng cắt mắt. Mà nói mình lấy mỡ và da thừa mí trên. Giờ làm xong rồi mí to mí bé.	0
hi vọng may mắn ạ	1
Hotline làm việc có như không	1
Dầm dầm sợ đổ chén nước chấm quá kaka	1
Gì mà quay con gái có chút xíu mà quay mặt ba ko vậy?	1
Khuyến mãi đến khi nào c	1
Chúc Khai Trương Hồng Phát ạh	1
Bị vậy lâu rồi ha 😢😢😢	1
Chúc mừng Chị/Bạn có tên FB Võ Hồng Hạnh https://www.facebook.com/vohonghanh2010 là người may mắn nhận được quà tặng là 1 suất tiêm cấp ẩm từ PK Pensilia nhé. inbox page để lên lịch hẹn nè ❤	1
quay xong, nay trời mưa gió cả ngày luôn	1
100 điểm không có nhưng sẳn tiện cho em hỏi da nào tiêm cũng đc hay sao chị uiiii :))))))	0
Bs đi nước ngoài suốt thichd thặc	1
!	1
Dữ dzay sao haha	1
Mong Nevada khắc phục tình trạng triệt râu . Mình triệt hết đc 1 tuần . 1 tuần sau mọc lại . Nhân viên thì có bạn nhiệt tình có bạn không ... cảm ơn	1
Nay có máy chiếu nữa hả bác- mấy lần trước em làm xong chỉ đắp mặt nạ.😁😁😁	1
Phí bắn mau mach trên mặt bn vậy bs?	1
chính xáccc ạ kkk	1
Tuyệt vời	1
Quá trời sướng rồi chị ơi. Nhiêu đây là dư đẹp rồi chị.	1
Hien Pham	1
😍	1
Sao giống Anh Cường tán lại Chị dậy!!! Mà Chị Tui thì Oh la la!!!! Mãi yêu!!	1
Có khẩu trang của nhà #Pen thik ghê, ra đường là phải đeo nè ko bị nóng mặt 😍	1
mlem mlem	1
"💗 Đikín.abcxyz6969.liênhệ💗Telegram:👇
https://t.me/Hyen7279"	1
Vui quá a ơi	1
Biên Hoà làm không lại nha😁	1
cái này hay và đẹp quá nhà Pensilia.	1
💖	1
Tốn tiền thì nhanh mà tái khám hay dịch vụ tặng thì lâu. Cái gì cũng lâu chỉ có đóng tiền là nhanh thôi.	0
Hồi cuối năm ngoái do đọc được bài review của một chị trong nhóm về phương pháp trẻ hóa noãn tự thân, thấy bảo không xâm lấn không dao kéo nên mình cũng thích và tò mò. Nhắn tin vào page hỏi thăm luôn xem cụ thể như nào, vì sinh nở xong da dẻ xuống cấp nhiều quá trông cứ như già đi chục tuổi nên nghe tư vấn nhiệt tình mà lại có xe đưa đón tận nhà thế là máu cái báo chồng một câu rồi đi luôn. Làm xong ngỡ ngàng ngơ ngác bật ngửa, đúng là treo đầu dê bán thịt chó thật mọi người ạ. Né dùm	0
Chỗ này là lừa đảo nhé mọi người, quảng cáo 1 đằng, đến làm tư vấn chèo kéo, làm tiền khách hàng, còn dịch vụ thì rất tệ. Chuyên viên thực hiện rất lơ là, tôi đã có 1 cải nghiệm tệ hại về dich vụ nâng cơ. Tốt nhất là đừng thanh toán bất cứ chi phí nào.	0
💖	1
Giờ ở đâu cũng vậy nói, quảng cáo cho dữ vô khi đến lại kêu phải đóng tiền thêm mới tốt được..., So ghê	1
Sau khi sử dụng sản phẩm/dịch vụ, da mình bị tổn thương nặng nề, gặp phải nhiều vấn đề về sức khỏe.	0
Em  mong may mắn đuoc nhận xuat trị nám	1
Cảm thấy ngu ngốc mới đến đây làm. Thực sự là phí thời gian 	1
Loan Phuong	1
Bán mỹ phẩm đi kèm đắt so với thị trường	1
🥰🥰🥰	1
𝕏𝕖𝕞 𝕖 𝕋𝕙ủ 𝔻â𝕞 𝕟è👉 rebrand.ly/quegfqc	1
Lừa đảo. Tự feedback. Làm tốn tiền chứ kết quả không ra hồn	0
Clip này hay đó, nhưng chưa show hết các công nghệ của mình nhé.	1
Dạ xịn chị Thục ơi	1
haha,Hùng ơi là H	1
E muốn được nhận quà tặng ạ	1
Chuẩn bị gặp bs rồi❤️❤️❤️❤️	1
👍	1
Dịch vụ tệ, chèo kéo ép buộc khách mua thêm dịch vụ từ lúc vào đến lúc về, khuyên mọi người nên chọn nơi khác	0
Khuyên chân thành mọi người là đến nghe tư vấn xong hãy quyết định nên làm hay không nha. Đừng cọc tiền trước,đặt chỗ online để được giảm tiền hơn so với đến trực tiếp, bla bla.	0
Nếu có sao âm là mình vote sao âm á. Bỏ tiền đắt gấp 3 lần bên ngoài nhưng dịch vụ tệ, chỉ vẽ tiền khách hàng. làm xấu thua các spa nhỏ. Mong mn suy nghĩ kỹ trước khi đên đây	0
Thật sự thái độ nhân viên rất tệ luôn	0
Dịch vụ không tốt. Hồ sơ dịch vụ và quy trình làm máy ko thống nhất.	0
Bs ơi hãy gọi tên em <3	1
Em mong nhận đc quà lắm ạ 😘😘	1
Nhân viên không có kiến thức chuyên môn, không thể tư vấn cho khách hàng một cách chính xác và đầy đủ!	0
Kèo thơm quá chị ưi	1
Da nhìn mê luôn e🥰🥰🥰	1
Sản phẩm và dịch vụ không đảm bảo về an toàn, gây hậu quả không mong muốn cho khách hàng.	0
Mỡ này là nó tan luôn hay là chỉ tạm thời ạ? Nếu e ăn uống ko để tăng cân thì mỡ có quay lại ko ạ?	1
 Gọi hỏi giá trị thâm mà cứ tư vấn làm chăm sóc mụn	0
trộm zía, xin zía cái da láng o đi	1
Anh Cường hok được để Chị em Ăn Mỳ Tum!?!?! Thương Chị Của Em!!!	1
Ko bảo hành.Thái độ nhân viên và trợ lý ko tốt áp đặt luôn tìm lý do và đẩy lỗi do khách, Tạo ra sản phẩm ko tốt thì phải tìm NGUYÊN NHÂN ,và quan trọng là thái độ và cách giải thích với khách, nhưng ở đây lại tìm LÝ DO	1
Mình đến tư vấn, đến lúc bảo để mình về tham khảo thêm thì chèo kéo bắt làm cho bằng được. Ảnh QC seeding toàn lấy trên Douyin thì không biết chất lượng kiểu gì ạ?	0
Làm xong trẻ ra 10 tuổi nha bác 🥰	1
✅	1
Quà tặng hấp dẫn qa bs oi	1
Da đẹp 😍	1
Mong được nhận quà	1
Chỉ 4 lí do thôi sao. Dù bạn siêng năng chăm da cỡ nào đi chăng nữa. Mỹ phải đắt tiền đi nữa nó cũng đổ sông đổ biển khi sờ tay lên mặt, không vệ sinh sạch da và nóng trong người.	0
Chúc khai trương hồng phát ạh!!!	1
Sao ko thấy chủ tịch lên sàn vậy. Lo làm camera man hả.	1
Ban đầu cũng uy tín nhưng mà giá đắt quá. Cũng hay làm trò để câu thêm tiền lắm 	0
Cho chị loại này cho con gái e nha! Cảm ơn e😍	1
Đức Thiện	1
Không có chuyên môn, da nào cũng trị 1 cách. Da mình từ mụn viêm thôi mà trị riết thành nhiều thâm và rỗ. Ai trị mụn thì nên né chỗ này ra	0
Nhân viên gì mà cứ như bị ma nhập, lúc nhớ lúc quên làm mình muốn nản luôn	0
Bs ơi, lấy tay để cam focus nhé	1
Mọi người cùng đón chờ kết quả nhé 💪🏻💪🏻💪🏻💪🏻 Chính chủ cũng nôn nao lắm ạ 🫶🏻	1
"Điều trị mụn ko hiệu quả
"	0
Làm phun lông mày phẩy sợi chưa đến 6 tháng trổ xanh, đóng khung lông màu, tính phí hơn 6 triệu. Nhân viên thái độ thiếu lịch sự.	0
Gọi lần đầu nghe máy, lần sau gọi hỏi lại cả chục cuộc không ai thèm nghe, làm ăn kì cục	0
Chao bs	1
dạ em chào bác sĩ	1
Quá chuẩn luôn kinh nghiệm của em bán hàng và trị mụn cho khách cũng vậy	1
❤️🥰	1
công nghệ đỉnh	1
"Công nghệ laser 3 tia đã được FDA chứng nhận an toàn: 
https://www.accessdata.fda.gov/cdrh_docs/pdf20/K201594.pdf"	1
Bác ơi, máy soi da có phát hiện được da sẽ bị nám trong tương lai k ạ ❤️	0
Khẩu trang nhà Pen làm mình thích mê luôn, khỏi lo nắng nóng hay UV gì hết 🥰	1
Tay nghề của KTV ko như quảng cáo. Phun môi mà vẽ tim môi bị lệch dù đã yêu cầu vẽ lại	0
