text	label	id
Bỏ một đống tiền ra để làm dịch vụ, xong nhận ra có một bên khác cũng cung cấp cái tương tự mà giá rẻ hơn. Đi hai nơi mới biết chỗ nào tốt. Đúng là kiến thức, kinh nghiệm, trải nghiệm	0	21
Bảo vệ như là bảo vệ ở đầu đường só chợ vậy, tôi đến đề chăm sóc da chứ không phải là gì dâu mà cứ lên mặt rồi khó chịu vậy. Người ta nói ấn tượng đầu tiên rất quan trọng chắc cũng có cái lý do của nó	0	22
Lên xóa hình xăm xong phòng khám tặng mình cục sẹo. Vãi nồi thiệt chứ 	0	23
Nói mình gửi ảnh qua để tư vấn xong đến hồi ghost luôn, hảo phòng khám	0	24
Ở đây khiến da mình tệ càng thêm tệ :(( mình đi ở đây 5 lần rồi lần đầu chỉ bị mụn xung quanh mũi và miệng và sau 5lan đi mình bị lan nặng ra 2 bên má. Da mình khá là yếu nhưng lần nào đi cũng phải nặn mụn và lazer. Điều mình rất rất bực bội ở đây là các chị kĩ thuật viên nặn mụn không hề có tâm lun nha :)) đã ko có tâm rồi mà cách làm việc cũng sơ xài như kiểu lẹ lẹ cho xong á, nặn rất đau và sau mỗi lần nặn như vậy về nhà da mình bị viêm đỏ khá nhiều và lên mụn đầu trắng. Ở đây cho mình cảm giác rằng là nếu b ko nhìu tiền thì b ko đc chăm sóc tốt z á :) mình là hssv mỗi lần đi chi phí là 2tr mấy nhưng kết quả mình nhận lại là nát càng thêm nát. Thật sự rất thất vọng và quá là sợ mấy chị nặn mụn ở đây lun nha. Mình né luôn	0	25
Dịch vụ không đáng cho số tiền mình bỏ ra. Thái độ nhân viên cũng ổn, nhưng kết quả cuối cùng không hiệu quả gì cả. Chán 	0	26
Chắc ở đây đào tạo nhân viên sales chứ chả phải nhân viên tư vấn. Tư vấn gì chả thấy cho khách hàng hiểu về tình trạng hiện tại mà ăn nói búa lua xua cho mình hết hiểu rồi nhét vào mồm một nùi liệu trình. Đến lạy	0	27
Điều dưỡng tay nghề kém quá, đến chăm sóc da xong về thấy dị ứng tè le. Ta nói nó mất thời gian quá đi thôi	0	28
Tổng cộng hết  một đống tiền mà không mang lại kết quả gì hết, hay do mình sinh viên nên bác sĩ đồ chỉ quan tâm đến ví tiền chứ chả quan tâm đến hiệu quả nhỉ	0	29
Da mình ban đầu cũng chỉ bị 2-3 mụn viên, mà đến hồi qua đây peel nó lên thành từng cụm. Giờ mình hết muốn ra đường luôn. Quá tệ cho một phòng khám	0	30
Tiền mỹ phầm bán ở đây đắt hơn chỗ khác rất nhiều. Mình thấy họ gửi bill để mình tiêu tiền chứ cũng chả có ích lợi gì	1	31
Điều trị gần 3 tháng vừa sài mỹ phẩm vừa uống thuốc k thấy tiến triển mặt ngày càng tệ	0	32
Bác sĩ tư vấn mình peel da. Peel rất tốn tiền, mà peel xong da mình không tróc nhưng nổi mụn quá trời luôn, nhiều hơn trước khi mình điều trị nữa, và lỗ chân lông to ra thấy rõ hichic	1	33
"Trước tiên k hài lòng về cách nhân viên yêu cầu đánh giá dịch vụ ngay tại buổi nặn mụn. Như vậy là không khách quan vì nhân viên đó đang theo dõi mình, mình rất khó nêu quan điểm cá nhân của mình khi bạn đó đang có mặt ở đó
Thứ 2, nhân viên nặn mụn không kỹ. Những nốt mụn rõ ràng nhưng đến khi mình chỉ thì nhân viên mới nặn, xử lý mụn viêm không hiệu quả. Mình là đứa bị mụn lâu năm và cũng trải nghiệm một số nơi nặn mụn viêm, sau khi lấy được cồi máu ở phần mụn viêm chảy rất nhiều nhưng nhân viên k xử lý hút phần máu thừa đó, nên sau đó mụn vẫn còn sưng và thâm nhiều.
Phương pháp nặn mụn bằng tăm theo mình cảm nhận là lấy không sạch nhân, hậu quả là mình nặn buổi chiều tối hôm nay, sáng hôm sau đã lại thấy mụn nổi sưng và nhân mụn trắng nổi lên
Rất không hài lòng!"	0	34
Giờ hiển thị trên website một đằng làm tới 22h! Thực tế tới nơi thì bảo 16h là hết h khám kêu KH đi về, mà KH chạy một quãng đường rất xa lại mưa bão! Làm dịch vụ sao lại ko nghĩ tới KH mà cập nhật cho chính xác giờ giấc nhỉ? Một sao cho sự thiếu chuyên nghiệp, và cái con bé tư vấn cũng chả có chuyên môn xoa dịu tâm trạng của KH luôn!	0	35
Dịch vụ tệ, khách hàng đặt hẹn, xác nhận lịch nhưng khi đến phải chờ 30ph, k tôn trọng khách hàng	0	36
Chính sách đổi trả cực kỳ kém, dựa trên lợi nhuận nhiều hơn lợi ích khách hàng. Tình trạng da sẽ k được đảm bảo đâu vì tất cả nhân viên sẽ cố khuyên sử dụng dịch vụ hoặc sản phẩm nhằm tăng doanh thu phòng khám. Tay nghề điều dưỡng nặn mụn chưa tốt, về rất dễ nổi mụn đầu trắng do nặn chưa sạch	0	37
Bác sĩ không có tâm. Đi cả mấy tuần cũng không giải quyết đc vấn đề trong khi tình trạng của mình cũng không quá nặng. Như kiểu nuôi bệnh để rút tiền của khách hàng vậy. Tốn bao nhiêu tiền mà không đc kết quả như mong muốn...!	0	38
Bác sĩ khám qua loa, k hỏi tình trạng da mà chỉ muốn bán thêm sp cho khách. Nhân viên thì tùy từng nhân viên, lần gần nhất đi làm nv đắp mặt nạ cho xong thì di làm cho người khác mặc dù để chạy đủ số ca.	0	39
"Điều trị mụn ko hiệu quả
"	0	40
Điều trị sẹo rỗ mất một đống tiền qua một đống liệu trình mà chả thây có gì khác biệt	1	41
Quá tệ trong tác phong phục vụ	1	42
Service như hạch	1	43
Mình đến mấy buổi đầu nghe bác sĩ tư vấn thì nghe cũng có vẻ uy tín lắm. Đến lúc đi nhậu gặp ngay bé học về da liễu, mình hỏi thì mới tá hỏa biết được chiêu trò của cái phòng khám này. Vớ vẩn	0	44
Nhân viên thì cũng thân thiện đấy nhưng mà ước gì tay nghề cũng tỷ lệ thuận với thân thiện	1	45
Chắc khách đông quá nên phục vụ công nghiệp ác. Nhưng mà thấy cũng được được	1	46
Mê cái cách bác sĩ tư vấn cho mình những liệu trình đắt tiền, nhưng mà thấy hiệu quả mình hết mê luôn	0	47
"Mình ko đánh giá cao bác sĩ, mình làm dịch vụ peel nhưng tư vấn hời hợt. Bsi kê cho mình peel ko bong, hôm sau mình bôi kcn bị vụn trắng thì phản hồi và thắc mắc lúc tư vấn sao ko nói sẽ có tình trạng đó thì bsi bảo sao mình ko hiểu là khi tác động acid lên da thì ko thể nào da ko có phản ứng gì được? Alo? Là mình phải tự hiểu việc đó hả? Nếu vậy thì phải kê viên chống nắng chứ cái mặt vẩy z sao ra đường? Peel của mình đc bsi dặn vẫn bôi kcn tẩy trang rửa mặt 3 ngày đầu nếu ra nắng v mà bsi ko ghi vào toa. Bây giờ mặt mình bình thường lại rồi nhưng vẫn ko thích cách giải thích biện hộ ăn ko nói có của bsi, rồi mặc định việc tự nhớ tự hiểu của bệnh nhân

Update thêm là mình bị mụn ẩn, bsi soi da thì nói do bụi mịn ở sg, ko hỏi mình xài kcn tẩy trang gì có sạch ko, kê peel cho mình rồi vẫn skincare theo routine cũ có trước đó, giờ 1 tháng rồi mặt mình vẫn ko giảm hay thay đổi gì hết, còn nổi thêm n"	0	48
Kĩ thuật viên làm da nặn mụn quá tệ, nặn k hết mụn ẩn mà những chỗ nặn từ mụn ẩn thành mụn viêm luôn :) làm ăn như cc dị á. Da ngta mặt tiền ngta mà cẩu thả vô trách nhiệm	0	49
Sau 3 tháng trị mụn ở đây thì càng trị mụn càng nhiều hơn	1	50
Mình với bạn mình đi nặn mụn ở đây, theo quan điểm của mình thì ở đây nặn mụn không sạch, cơ bản là mặt mình ít mụn nhưng lúc nặn có lẽ các bạn nhân viên soi ko kĩ. Sau khi nặn mụn về thì mình bị dị ứng nổi mẩn li ti, còn bạn mình thì tự nặn ra 1 đống mụn. Tuy nhiên bạn nhân viên nặn mụn khá nhiệt tình.	0	51
Vô đây từ bị mụn ở mặt xong bỏ cả mớ tiền nhận lại là mụn ở khắp người. Lúc đầu đc bs rất tốt đỡ đc 10% nhưng từ khi đổi ng khám là bắt đầu thấy tệ hơn, uống thuốc thì chả có td, còn bị mụn lưng vs vòng 3, hỏi bs sĩ thì nhận lại sự thờ ơ bảo tác dụng phụ vài hôm là hết, thái độ rất khó chịu, nhưng 2 tháng r nhé dell có hết mà nặng hơn. Đến lúc từ bỏ thì lại gọi ng ta tái khám, ng ta từ chối thì nhận đc lại lời như này: Em mà hok quay lại khám và ko dùng thuốc nữa là sẽ bùng mụn lên á🙃🙂. Ủa là âm mưu như dị sao. Vs lại MN thấy mấy bài đánh giá 5* trên gg thì đừng tưởng là sự thật hok có đâu nha. Ng ta đánh giá 5* = đc giảm 50k thui. Thôi chốt lại sẽ ko dùng dịch vụ ở đây nữa. Quá thất vọng!	0	52
Dịch vụ siêu tệ, đặt trước lịch cũng như không nhé. Phản ánh cũng như không ấy, bỏ tiền ra mà rước bực vào người	0	53
trải nghiệm cực kỳ tệ khi đến đây, giải quyết lằn nhằn. nhân viên thì chẳng giải thích tới nơi tới chốn, để khách đợi cả tiếng đồng hồ. đi làm da phải trả tiền mà cứ như tới nhờ vả nó làm dùm mình. không chỉ mình mà trong lúc tới mình còn thấy có khách khác cũng đang khiếu nại chế độ dịch vụ. đánh giá 1 sao. không khuyến khích mọi người tới đây cho mang thêm bực	0	54
Khách lưa thưa không tới 10 người mà ngồi đợi hơn tiếng đồng hồ	1	55
Dịch vụ giá thì cao nhưng chăm sóc khách hàng tệ, bác sĩ cũng như vậy thái độ với khách hàng. Mình cảm thấy k hài lòng khi bỏ tiền ra nhưng thái độ hời hợtt	0	56
Nặn mụn quá tệ chân mụn ko lấy hết , máu bầm cũng không nặn hết luôn, máu ở mụn viêm lấy gạc chấm vô rồi dùng lại gạc đó chấm vô các cùng khác trên mặt , tay điều dưỡng thì run một phòng khán lơn như vậy mà không thể đưa ra giải quyết cho khách hàng hay sao ???	0	57
"Ngẫm lại cảm thấy tới đây như đem tiền quăng cửa sổ, rất phí tiền, phí thời gian nhưng không hiệu quả, vô cùng lãng nhách, tới lần nào cũng là kê thuốc, kê sp, kê dịch vụ này kia, tốn mớ tiền cho một sự rập khuôn không đem lại hiệu quả, thái độ của nhân viên thì được bộ mặt đẹp và chỉ tới đó thôi
"	0	58
Hên xui gặp bác sĩ tư vấn OK thì mới làm nhé các bạn. Kết quả của mình gói gọn trong 2 từ: thất vọng!	0	59
Hotline làm việc có như không	1	60
Tiếc của ham rẻ rồi đi tmv hút cái bụng lòi lõm thấy hoảng quá, em trầm cảm cả tháng nay mà e lướt fb của bác thấy bác có sửa lại mỡ hỏng gì đó không biết thật không nữa 😅 	1	61
Trời ơi phải tìm hiểu kĩ trc khi làm chứ b. Chọn bsi có tiếng, có chuyên môn, dịch vụ có bảo hành ấy. 	1	62
Đây có mình nè lúc trước vừa ham body thon gọn vừa ham rẻe nên hút xong nhìn mà muốn khóc luôn đó rồi phải qua cho bác bình sửa lại hên bác uy tính nên cứu được á	1	63
Đúng là 1 lần lầm lỡ là khổ cả đời luôn 🙄.trc m cũng i chang b luôn á. Cũng may đứa b thân làm bên này thấy đẹp nên m cũng xang chỗ bác làm. Tv bác kinh nghiệm nên lên sửa lại cho m đẹp lắm đó ,bác mát tay thật ấy nha	1	64
Đùa bên này phốt nhiều bấy lâu giờ luôn đấy. Chuyên làm lệch mũi còn ko bảo hành cơ. Làm hẳn bệnh viện đi bạn, mình sau rút kinh nghiệm lần 1 ra tmv làm bị nó lừa cho lần 2 phải lên bệnh viện để sửa đó bạn	0	65
Uh như mũi mình là phải sửa nâng cấu trúc. Thì có nghĩa là đập cái mũi ra làm lại thì mũi nhìn nó mới khác được. Ko thì nhé nó chỉ cao lên thôi mũi vẫn thô. Nhưng nó có 1 cái loại sụn chữ L ấy thì kiểu nó đặt vô r lừa mình là sửa cấu trúc, dùng cái đó đc thời gian da mũi nó mỏng r viêm bạn ạ	0	66
bảo là công nghệ tan mỡ nóng lạnh gì nghe to lắm nhg mà làm xong thấy cũng y vậy, chỉ săn hơn tí lúc vừa làm xong	1	67
Nhân viên xinh quá, để chồng ngồi đợi để vào tư vấn mà sợ chúng nó tán tỉnh chồng. Quản lý kiu chúng nó bơt bớt cái mỏ lại, ai cần làm thì tư vấn chứ đừng có chèo kéo vậy, tui kh thích !!!!!	0	68
"Hình như Năm 2018 có 1 vụ bị hỏng
Các năm sau ko pik. Nghe nói bác sĩ và nhân viên lúc phẩu thuật cho khách hay ra ngoài nghe điện thoại. Chị lênh mạng xem thêm nha"	0	69
Tư vấn qua điện thoại trả lời chậm chạp, khiến mình mất thời gian chờ đợi.	1	70
Thời gian làm việc ghi rõ 8h30 đến 20h vậy mà 7r gọi không ai nghe máy, làm mất thì giờ	0	71
Nhân viên tư vấn qua điện thoại không thân thiện, không tạo ra một môi trường giao tiếp thoải mái.	0	72
Tư vấn qua điện thoại không có kiến thức vững vàng về sản phẩm/dịch vụ, không thể giúp mình giải đáp các thắc mắc.	0	73
Đường dây điện thoại hỗ trợ khách hàng không ổn định, gây ra sự bất tiện khi gặp vấn đề cần giải quyết.	1	74
Tư vấn qua điện thoại không chuyên nghiệp, không giải quyết được vấn đề của mình.	0	75
Thời gian làm việc không đồng nhất, khiến mình không biết khi nào là thời điểm phù hợp để ghé thăm.	1	76
Thời gian làm việc không hợp lý, làm mình phải chờ đợi lâu hoặc đến vào lúc không thích hợp.	1	77
Làm cả chục triệu mà voucher có như không có	1	78
Chả bao giờ thấy khuyến mãi, lâu lâu có thì làm cho có chứ cũng kh giảm đc gì nhiều. Nchung chán!!!	1	79
Chỗ để xe hơi chật, đi oto phải kiếm chỗ đậu hoặc đậu nhờ. 	0	80
Gọi điện không ai nghe???	0	81
K bao giờ đi spa hay tmv. Toàn bọn làm ăn bố láo. Lấy dc tiền xong là nó phủi tay, k cần bit xâu đẹp ra sao .	0	82
k có công nghệ nào trị thâm dược đâu các chị ơi, tự làm ở nhà thôi	1	83
Giờ ở đâu cũng vậy nói, quảng cáo cho dữ vô khi đến lại kêu phải đóng tiền thêm mới tốt được..., So ghê	1	84
tránh xa bọn này ra kẻo tiền mất tật mang b ạ	1	85
mình thấy họ quãng cáo nhiều quá , nên ko biết có đi làm hay không nữa , và thấy bên Gangnam cũng có dịch vụ giống như vậy !	0	86
Tui có lịch phẩu thuật bên đó mới gọi hoãn lại lịch, làm tui đặt vé máy bay rồi bây h bỏ	0	87
mình thấy bv khá chuyên nghiệp mà, làm 1 lần r, bây h vào làm lần 2 cho hoàn thiện thôi, bà đó chắc do lớn tuổi quá sốc thuốc thôi	0	88
đúng nè, thấy tư vấn có vấn đề	1	89
Page flop quá nên đăng lên để câu tương tác à	1	90
Vẻ ngoài hào nhoáng. Bên trong khó nhận bit	1	91
Đã đi thẩm mỹ viện này mà kết quả thất vọng, không thấy sự cải thiện gì cả!	0	92
Chạy xe tới mà hết chỗ để phải chạy ra quán cafe gửi xe	1	93
Dịch vụ kém chất lượng, nhân viên không chuyên nghiệp, không đáng tiền.	0	94
Nhân viên tư vấn không có chuyên môn, phải gọi đến lần 3 mới tìm được một nhân viên đủ kiến thức và kinh nghiệm để tư vấn cho mình. Quá mất thời gian	0	95
Phải trả một số tiền lớn nhưng kết quả lại không như mong đợi, cảm thấy lừa đảo!	0	96
Đến làm toàn mồi cho làm gói đắt tiền rồi kiu mấy gói đó tốt, rõ chán	1	97
Không thấy sự thay đổi rõ rệt sau khi điều trị, tiền bỏ ra hoàn toàn không xứng đáng.	0	98
Báo 8h đêm đóng cửa mà 7h50 tới lấy cái túi để quên bị hẹn lại mai qua lấy	1	99
Đã trải qua liệu trình nhưng mà tình trạng da không cải thiện, còn tổn thương nữa!	0	100
Hồi cuối năm ngoái do đọc được bài review của một chị trong nhóm về phương pháp trẻ hóa noãn tự thân, thấy bảo không xâm lấn không dao kéo nên mình cũng thích và tò mò. Nhắn tin vào page hỏi thăm luôn xem cụ thể như nào, vì sinh nở xong da dẻ xuống cấp nhiều quá trông cứ như già đi chục tuổi nên nghe tư vấn nhiệt tình mà lại có xe đưa đón tận nhà thế là máu cái báo chồng một câu rồi đi luôn. Làm xong ngỡ ngàng ngơ ngác bật ngửa, đúng là treo đầu dê bán thịt chó thật mọi người ạ. Né dùm	0	101
Nhân viên thái độ không thân thiện, không giải đáp được các thắc mắc của khách hàng.	0	102
Phẩm mỹ viện gì kì cục kẹo vậy	1	103
Sau khi điều trị, da mình bị dị ứng, gặp phải nhiều vấn đề sức khỏe.	0	104
Đến hẹn lại lên ,có thể những bác sĩ tâm địa ko tốt chỉ biết đến đồng tiền mà không quan tâm đến sức khỏe của khách hàng ra gì	1	105
Dịch vụ quá đắt đỏ so với chất lượng, không đáng tiền!	0	106
Spa này cảm thấy duy trì dc thì trả tiền tip 2 ngày cho NV đi. Ko thì dẹp tiệm sớm đi.	0	107
Nhân viên không có kiến thức chuyên môn, không thể tư vấn cho khách hàng đúng cách.	0	108
FB thì đăng bài mà nhắn tin không rep	1	109
Sau khi điều trị, mình cảm thấy không thoải mái, không tự tin về ngoại hình của mình.	0	110
Quảng cáo 1 đằng tới nơi nói 1 nẻo	1	111
Mất thời gian và tiền bạc cho một dịch vụ không hiệu quả, cảm thấy thất vọng!	0	112
Dụ dỗ khách là nhìu :)))	1	113
Không hài lòng với kết quả sau khi điều trị, da không được cải thiện gì cả!	0	114
Tmv nằm ở mặt bằng mà đường đó kẹt xe dữ quá	0	115
Không gian thẩm mỹ viện không sạch sẽ, không thoải mái cho khách hàng.	0	116
Địa chỉ khó kiếm, biển hiệu bị ẩn vào trong tìm hoài không thấy phải hỏi người dân lân cận mới lần ra	1	117
Nhân viên không tận tình, không quan tâm đến nhu cầu và mong muốn của khách hàng.	0	118
Hẹn 3 rưỡi chiều tới, tới sớm hơn 15p vẫn bắt đợi tới hơn 4h mới tư vấn	1	119
Sản phẩm và dịch vụ không đảm bảo về chất lượng, khiến khách hàng lo lắng về tác động lâu dài.	0	120
Khách bận đồ đẹp thì bu, bận thường thường thì tư vấn không nhiệt tình lắm. Chắc chúng nó sợ tui thiếu tiền 	0	121
Sự không chuyên nghiệp của nhân viên khiến cho trải nghiệm của khách hàng không được thoải mái và an tâm.	0	122
Tiếc của ham rẻ rồi đi tmv hút cái bụng lòi lõm thấy hoảng quá, em trầm cảm cả tháng nay 	1	123
Dịch vụ không đúng như quảng cáo, không đáng tin cậy!	1	124
"Ko tư vấn kĩ về dịch vụ, các bước làm, hiệu quả ra sao , khách chưa trả lời đồng ý với liệu trình hay chưa thì cứ nói ""E chốt gói này cho a nha để a vào làm luôn "" "	0	125
Đã bỏ ra một số tiền lớn nhưng kết quả lại không như mong đợi, thất vọng!	1	126
Trong lúc làm luôn hỏi mình chốt giá nào phương án nào chứ ko đợi làm xong rồi tính	0	127
Sản phẩm và dịch vụ không mang lại kết quả như đã hứa hẹn, cảm thấy lừa dối!	1	128
Thấy khách sộp sộp là bu như kiến, bthg chắc đc 1, 2 em nv tư vấn	1	129
Sau khi sử dụng sản phẩm/dịch vụ, da mình bị tổn thương nặng nề, gặp phải nhiều vấn đề về sức khỏe.	0	130
Điều hòa bật lạnh quá	1	131
Nhân viên thái độ không tôn trọng, không đáp ứng được nhu cầu và mong muốn của khách hàng.	0	132
Trước có dịch vụ tiêm filler đầy mắt, bảo mình chụp ảnh mặt gửi qua xong không thèm trả lời luôn. Thật hụt hẫng	1	133
Không gian làm việc không sạch sẽ, không thoải mái cho khách hàng, không tạo cảm giác an toàn!	0	134
Ở đây khiến da mình tệ càng thêm tệ :(( mình đi ở đây 5 lần rồi lần đầu chỉ bị mụn xung quanh mũi và miệng và sau 5lan đi mình bị lan nặng ra 2 bên má. Da mình khá là yếu nhưng lần nào đi cũng phải nặn mụn và lazer. Điều mình rất rất bực bội ở đây là các chị kĩ thuật viên nặn mụn không hề có tâm lun nha :)) đã ko có tâm rồi mà cách làm việc cũng sơ xài như kiểu lẹ lẹ cho xong á, nặn rất đau và sau mỗi lần nặn như vậy về nhà da mình bị viêm đỏ khá nhiều và lên mụn đầu trắng. Ở đây cho mình cảm giác rằng là nếu b ko nhìu tiền thì b ko đc chăm sóc tốt z á :) mình là hssv mỗi lần đi chi phí là 2tr mấy nhưng kết quả mình nhận lại là nát càng thêm nát. Thật sự rất thất vọng và quá là sợ mấy chị nặn mụn ở đây lun nha. Mình né luôn	0	135
Dịch vụ không đáng tiền, không đem lại hiệu quả như đã hứa hẹn, cảm thấy thất vọng!	0	136
Gọi lần đầu nghe máy, lần sau gọi hỏi lại cả chục cuộc không ai thèm nghe, làm ăn kì cục	0	137
Không những không có sự cải thiện mà còn gặp phải nhiều vấn đề mới sau khi sử dụng sản phẩm/dịch vụ!	1	138
Nếu có sao âm là mình vote sao âm á. Bỏ tiền đắt gấp 3 lần bên ngoài nhưng dịch vụ tệ, chỉ vẽ tiền khách hàng. làm xấu thua các spa nhỏ. Mong mn suy nghĩ kỹ trước khi đên đây	0	139
Sản phẩm và dịch vụ không đảm bảo về an toàn, gây hậu quả không mong muốn cho khách hàng.	0	140
"Đợi hơn 1 tiếng, nhân viên gọi lên triệt, lên nhân viên để đó rồi đi làm việc khác, nhân viên khác đi qua đi lại nhưng ko hỏi khách 1 tiếng, tới hồi tôi hỏi mới dắt tôi vô, vô xong bắt tôi đợi tiếp, xong nói bạn thực tập làm cho tôi, tay chân lống ngống. là dịch vụ oki chưa mn?????
Còn những chị đi sau tôi thì kêu lên làm trước là sao????"	0	141
Nhân viên không có kiến thức chuyên môn, không thể tư vấn cho khách hàng một cách chính xác và đầy đủ!	0	142
Đợi 1 tiếng lên triệt nách 30 giây :)))). Đi vô trước ngồi đợi mà mấy người vô sau và vừa bước vô được lên trước tiên	1	143
Không chỉ không có sự cải thiện mà còn gặp phải nhiều vấn đề mới sau khi sử dụng sản phẩm/dịch vụ!	1	144
Nài nỉ, mời chèo khách kinh khủng, nói mãi luôn á. Bảo không có nhu cầu rồi mà cứ kêu chị mua gói này đi, k thì chị mua gói trải nghiệm đi.	0	145
Dịch vụ không đáng tiền, không đem lại hiệu quả như đã hứa hẹn, cảm thấy thất vọng!	0	146
Ở quầy lễ tân, người đeo kính chắc là quản lý ở đây nhỉ? Thái độ tệ kinh luôn. Bảo sao mà mấy người ở quầy lễ và mấy người kĩ thuật viên cũng tệ vậy :)))))))	0	147
Sau khi điều trị, không chỉ không được cải thiện mà còn gặp phải nhiều vấn đề mới!	0	148
"Hồi đầu không biết, đăng kí mua dc chăm kĩ càng, nói chuyện nhỏ nhẹ, tươi cười. Tui đi lâu thì kiểu ""đuổi khách cũ"", nói chuyện mặt quạo, khách cũ đi thì k được tiền nhiều á :))))"	1	149
Sản phẩm và dịch vụ không đảm bảo về chất lượng, gây tổn thương cho sức khỏe của khách hàng!	0	150
Chẳng biết mời khách mua gói sẽ dc bao nhiêu % tiền mà người ta kêu k có nhu cầu vẫn mặt dày làm phiền.	0	151
Nhân viên thái độ khó chịu và làm không nhịêt tình khi khách hàng không làm dịch vụ theo ý nhân viên	0	152
Vì không làm dịch vụ mà nv tư vấn kết quả là nv quạo và nặng mụn rất dau ạ	0	153
"Mình đi làm mặt ở đây. Sử dụng gói chăm sóc cơ bản. Tuy nhiên, mình thấy cách phục vụ ko thân thiện và nhã nhặn lắm. Khách vào ko chào mà hỏi ""Làm gì đây?"" Ngay từ cửa."	0	154
